symbol,companyName,primaryExchange,sector,calculationPrice,open,openTime,close,closeTime,high,low,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,iexRealtimePrice,iexRealtimeSize,iexLastUpdated,delayedPrice,delayedPriceTime,extendedPrice,extendedChange,extendedChangePercent,extendedPriceTime,previousClose,change,changePercent,iexMarketPercent,iexVolume,avgTotalVolume,iexBidPrice,iexBidSize,iexAskPrice,iexAskSize,marketCap,peRatio,week52High,week52Low,ytdChange
VICL,Vical Incorporated,NASDAQ Capital Market,Healthcare,close,1.71,1528291800625,1.67,1528315200578,1.735,1.67,1.67,Close,"June 6, 2018",1528315200578,69124,1.675,7,1528315195302,1.67,1528315200578,1.65,-0.02,-0.01198,1528117888072,1.72,-0.05,-0.02907,0.00936,647,123519,0,0,0,0,36431498,-1.56,3.7,1.32,-0.11417638297872336
VICR,Vicor Corporation,Nasdaq Global Select,Technology,close,47.9,1528291800310,49.75,1528315200322,50.1,47.878,49.75,Close,"June 6, 2018",1528315200322,566571,49.85,100,1528315179933,49.75,1528315200322,49.995,0.245,0.00492,1528317279614,47.2,2.55,0.05403,0.021,11898,266262,0,0,0,0,1965846524,,49.75,16.3,1.2857084869976363
VIDI,ETF Series Solutions Trust Vident International Equity Fund,NYSE Arca,,close,27.81,1528310831794,27.79,1528315200209,27.84,27.59,27.79,Close,"June 6, 2018",1528315200209,17169,0,0,0,27.79,1528315800001,,,,,27.4836,0.3064,0.01115,0,0,32415,0,0,0,0,0,,30.34,25.13,-0.018301648444783443
VIGI,Vanguard International Dividend Appreciation ETF,NASDAQ Global Market,,close,67.02,1528291800423,67.14,1528315200542,67.35,66.87,67.14,Close,"June 6, 2018",1528315200542,65569,0,0,0,67.14,1528315200542,66.64,-0.5,-0.00745,1528200526556,66.72,0.42,0.00629,0,0,54547,0,0,0,0,934834264,,70.39,60.59,0.0059798444277628935
VII,Vicon Industries Inc,NYSE American,Industrials,close,0.3697,1528291800013,0.3637,1528315200040,0.375,0.3553,0.3637,Close,"June 6, 2018",1528315200040,86584,0,0,0,0.3637,1528315800000,0.368,0.0043,0.01182,1527625721658,0.3606,0.0031,0.0086,0,0,171993,0,0,0,0,6383889,,0.76,0.3,-0.13282857142857146
VIIX,VelocityShares VIX Short Term ETN,NASDAQ Global Market,,close,14.07,1528291800546,13.64,1528315200473,14.1,13.63,13.64,Close,"June 6, 2018",1528315200473,69065,0,0,0,13.64,1528315200473,13.62,-0.02,-0.00147,1528315858917,14.19,-0.55,-0.03876,0,0,62260,0,0,0,0,7968393,,23.92,10.84,0.20816442882249547
VIIZ,VelocityShares VIX Medium Term ETN,NASDAQ Global Market,,close,6.25,1528292528357,6.27,1528315200482,6.26,6.24,6.27,Close,"June 6, 2018",1528315200482,1150,0,0,0,6.27,1528315200482,6.49,0.22,0.03509,1527858028678,6.28,-0.01,-0.00159,0,0,1362,0,0,0,0,721050,,8.45,5.7,0.050336298157454024
VIPS,Vipshop Holdings Limited American Depositary Shares each representing two,New York Stock Exchange,Consumer Cyclical,close,12.29,1528291903975,12.41,1528315262112,12.54,12.02,12.41,Close,"June 6, 2018",1528315262112,8073827,12.415,800,1528315199891,12.41,1528315262112,12.4,-0.01,-0.00081,1528318767312,12.28,0.13,0.01059,0.04432,357832,11568806,0,0,0,0,8142631937,22.56,19.14,7.79,-0.007010000000000049
VIRC,Virco Manufacturing Corporation,NASDAQ Global Market,Industrials,close,4.8,1528297523120,4.65,1528315200292,4.8,4.65,4.65,Close,"June 6, 2018",1528315200292,3621,0,0,0,4.65,1528315200292,4.75,0.1,0.02151,1528205295122,4.8,-0.15,-0.03125,0,0,9790,0,0,0,0,71412175,12.24,6.05,3.95,-0.05819155567718791
VIRT,Virtu Financial Inc.,Nasdaq Global Select,Financial Services,close,30.75,1528291800642,30.65,1528315200436,31.1,30.45,30.65,Close,"June 6, 2018",1528315200436,1301016,30.65,299,1528315198729,30.65,1528315200436,30.65,0,0,1528317007905,30.65,0,0,0.06298,81938,1690743,0,0,0,0,6153509623,25.76,37.85,13.1,0.6969891592013908
VISI,Volt Information Sciences Inc.,NYSE American,Industrials,close,3.2,1528291800013,3.1,1528315200029,3.25,2.95,3.1,Close,"June 6, 2018",1528315200029,65359,3.025,100,1528309233949,3.1,1528315800001,2.8,-0.3,-0.09677,1526588117223,3.2,-0.1,-0.03125,0.01224,800,26243,0,0,0,0,65189060,-2.14,6,2.155,-0.2000811688311688
VIV,Telefonica Brasil S.A. ADS,New York Stock Exchange,Communication Services,close,11.68,1528291806871,11.79,1528315321510,11.86,11.61,11.79,Close,"June 6, 2018",1528315321510,1960681,11.78,100,1528315117654,11.79,1528315321510,11.79,0,0,1528315324006,11.71,0.08,0.00683,0.00529,10372,1731433,0,0,0,0,19909699619,13.55,17.33,11.625,-0.19963752683508615
VIVE,Viveve Medical Inc.,NASDAQ Capital Market,Healthcare,close,2.72,1528291800467,2.66,1528315200544,2.74,2.56,2.66,Close,"June 6, 2018",1528315200544,294039,2.665,15,1528315195304,2.66,1528315200544,2.66,0,0,1528317007919,2.74,-0.08,-0.0292,0.00671,1973,679277,0,0,0,0,83176572,-1.29,8.75,1.6,-0.5012616570327553
VIVO,Meridian Bioscience Inc.,Nasdaq Global Select,Healthcare,close,15.1,1528291800626,15.25,1528315200206,15.4,14.95,15.25,Close,"June 6, 2018",1528315200206,331085,15.275,100,1528315134748,15.25,1528315200206,15.25,0,0,1528317007937,15.25,0,0,0.07708,25520,225951,0,0,0,0,645750301,22.43,16.45,13.35,0.07722845013315245
VJET,voxeljet AG American Depositary Shares each representing one-fifth of an/,New York Stock Exchange,Technology,close,3.69,1528291800860,3.85,1528315320725,3.85,3.69,3.85,Close,"June 6, 2018",1528315320725,32692,0,0,0,3.85,1528315320725,3.75,-0.1,-0.02597,1528142520617,3.68,0.17,0.0462,0,0,28635,0,0,0,0,71610000,-7.86,6.37,3.07,-0.18069075630252096
VKI,Invesco Advantage Municipal Income Trust II of Beneficial Interest (DE),NYSE American,Financial Services,close,10.59,1528291800012,10.64,1528315200035,10.679,10.59,10.64,Close,"June 6, 2018",1528315200035,64733,10.65,79,1528295276240,10.64,1528315800000,10.71,0.07,0.00658,1528318481178,10.69,-0.05,-0.00468,0.00431,279,97983,0,0,0,0,472326103,,11.93,10.33,-0.033188592564319344
VKQ,Invesco Municipal Trust,New York Stock Exchange,Financial Services,close,11.81,1528291800851,11.79,1528315321749,11.82,11.79,11.79,Close,"June 6, 2018",1528315321749,73362,11.8,100,1528312870433,11.79,1528315321749,11.9,0.11,0.00933,1527600024960,11.81,-0.02,-0.00169,0.02519,1848,93759,0,0,0,0,652225476,,13.04,11.51,-0.03385553984839172
VKTX,Viking Therapeutics Inc.,NASDAQ Capital Market,Healthcare,close,9.25,1528291800724,9.08,1528315200284,9.99,8.9,9.08,Close,"June 6, 2018",1528315200284,4606232,9.075,100,1528315196602,9.08,1528315200284,9.15,0.07,0.00771,1528318754754,9.39,-0.31,-0.03301,0.02439,112346,3857239,0,0,0,0,462473411,-13.55,11.17,0.88,1.0629721428571428
VKTXW,,,,close,8.04,1528291800027,8.25,1528315200529,8.4,7.493,8.25,Close,"June 6, 2018",1528315200529,21692,8.21,100,1528291950740,8.25,1528315200529,9,0.75,0.09091,1527859793128,8.05,0.2,0.02484,0.00461,100,0,0,0,0,0,0,,8.25,0,1.7171476923076923
VLGEA,Village Super Market Inc. Class A Common Stock,Nasdaq Global Select,Consumer Defensive,close,28.96,1528291800529,28.29,1528315200237,29.156,27.87,28.29,Close,"June 6, 2018",1528315200237,63694,28.45,100,1528312648987,28.29,1528315200237,28.29,0,0,1528317007947,28.9,-0.61,-0.02111,0.00471,300,24574,0,0,0,0,406493154,,30.31,21.95,0.24828227295886987
VLO,Valero Energy Corporation,New York Stock Exchange,Energy,close,123,1528291809859,121.2,1528315280079,123.47,119.94,121.2,Close,"June 6, 2018",1528315280079,3549717,121.19,100,1528315195306,121.2,1528315280079,121.2,0,0,1528318269345,123.33,-2.13,-0.01727,0.04417,156791,3855057,0,0,0,0,52240038262,22.87,126.98,61.59,0.3332009073329267
VLP,Valero Energy Partners LP representing limited partner interests,New York Stock Exchange,Energy,close,42.5,1528291809861,41.57,1528315271947,42.5,41.259,41.57,Close,"June 6, 2018",1528315271947,51057,41.46,100,1528314833639,41.57,1528315271947,42.23,0.66,0.01588,1527883294979,42.48,-0.91,-0.02142,0.03075,1570,76501,0,0,0,0,2879224250,15.01,48.66,33.25,-0.07298342446332287
