,,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
ABIL,-4q,-3370000,-3359000,620000,25922000,8470000,,177000,-3000000,3232000,,-3055000,797000,2017-03-31,,6702000,27583000.0,8470000,,,797000
ABIO,-1q,3394000,-3071000,,12727000,12096000,,,-2735000,2773000,,-2773000,,2018-03-31,1720000,11054000,12788000.0,12096000,,,
ABIO,-2q,560000,-4196000,,12299000,8702000,,,-4197000,4297000,,-4297000,,2017-12-31,2834000,10275000,12365000.0,11752000,,,
ABIO,-3q,-959000,-3974000,,16376000,8142000,,,-4433000,4475000,,-4475000,,2017-09-30,3488000,14352000,16921000.0,15951000,,,
ABIO,-4q,2931000,-4958000,,16655000,9101000,,,-5522000,5559000,,-5559000,,2017-06-30,4508000,14747000,17296000.0,16007000,,,
ABLX,-1q,,,,373750683.508,,,,,,,,,2017-12-31,,215911012.896,467999269.168,363677573.302,,,
ABLX,-2q,,,,240533528.4,,,,,,,,,2017-06-30,,91890342.72,268752290.4,231795994.32,,,
ABLX,-3q,,,,254868487.895,,,,,,,,,2016-12-31,,108449413.975,280727761.58,246080354.8,,,
ABLX,-4q,,,,327441146.3,,,,,,,,,2016-06-30,,139414873.3,350142014.7,319219300.47,,,
ABM,-1q,2000000,99600000,1405800000,1215700000,69700000,17000000.0,175000000,26600000,124500000,-500000,50500000,1580800000,2018-04-30,,1436600000,3749900000.0,69700000,1107300000.0,,1580800000
ABM,-2q,4100000,33700000,1429300000,1218100000,68600000,7000000.0,159000000,27800000,125200000,-600000,33800000,1588300000,2018-01-31,,1416700000,3797000000.0,68600000,1180400000.0,,1588300000
ABM,-3q,15100000,-19700000,1337100000,1235500000,62800000,16900000.0,160900000,-3600000,151600000,-900000,9300000,1498000000,2017-10-31,,1375700000,3812600000.0,62800000,1178200000.0,,1498000000
ABM,-4q,-8900000,-22800000,1184500000,1049000000,47700000,,133900000,32900000,107400000,1300000,26500000,1318400000,2017-07-31,,968700000,2352900000.0,47700000,,,1318400000
ABMD,-1q,-9505000,56399000,30098000,494271000,42975000,,144338000,36847000,96771000,,47567000,174309000,2018-03-31,21270000,689524000,786375000.0,362249000,,,174436000
ABMD,-2q,6588000,56696000,24994000,422198000,50502000,,129028000,13446000,84262000,,44766000,154022000,2017-12-31,17706000,632482000,719602000.0,301253000,,,154022000
ABMD,-3q,912000,43157000,21627000,370170000,44536000,851000.0,111196000,24503000,79470000,,31726000,132823000,2017-09-30,19390000,604886000,694653000.0,263197000,15961000.0,,132823000
ABMD,-4q,4652000,36294000,21862000,350915000,43970000,829000.0,110606000,37374000,77528000,,33078000,132468000,2017-06-30,16931000,567044000,652217000.0,251411000,16154000.0,,132468000
ABR,-1q,-9565000,20797000,,,234207000,,,28077000,,-746000,,,2018-03-31,,714606000,3748768000.0,,,,71387000
ABR,-2q,19623033,72932548,,,104374000,,,23759640,,4706388,,,2017-12-31,,695825000,3625945000.0,,,,71100607
ABR,-3q,3992008,79986058,,,84751397,,,18309388,,-995312,,,2017-09-30,,680501908,3058177862.0,,,,66279326
ABR,-4q,-110032041,235342394,,,80759389,,,13817868,,2924,,,2017-06-30,,674579943,2935445368.0,,,,58792143
ABT,-1q,-5585000000,1108000000,3067000000,14964000000,3857000000,737000000,4323000000,418000000,3715000000,,608000000,7390000000,2018-03-31,589000000,31399000000,70908000000.0,4042000000,21891000000,,7390000000
ABT,-2q,-1624000000,1640000000,3263000000,20147000000,9407000000,714000000,4326000000,-828000000,3635000000,2000000.0,691000000,7589000000,2017-12-31,613000000,30897000000,76250000000.0,9610000000,27924000000,,7589000000
ABT,-3q,1313000000,2005000000,2857000000,21377000000,11012000000,715000000,3972000000,603000000,3162000000,-12000000.0,810000000,6829000000,2017-09-30,562000000,32032000000,72248000000.0,11199000000,24025000000,,6829000000
ABT,-4q,961000000,1351000000,3173000000,19983000000,9675000000,221000000,3464000000,283000000,3037000000,,427000000,6637000000,2017-06-30,513000000,31602000000,71151000000.0,9835000000,24031000000,,6637000000
ABTX,-1q,7985000,10811000,,,190088000,,,7711000,,-67000,,,2018-03-31,,311988000,2886484000.0,,,,28535000
ABTX,-2q,-10324000,6218000,,,182103000,,,3204000,,183000,,,2017-12-31,,306865000,2860231000.0,,,2553366000.0,29019000
ABTX,-3q,4936000,10518000,,,192427000,,,2986000,,-83000,,,2017-09-30,,302727000,2813434000.0,,,2510707000.0,28457000
ABTX,-4q,3345000,7589000,,,187491000,310000000.0,,5395000,,-72000,,,2017-06-30,,298459000,2724716000.0,,629818000.0,,26584000
ABUS,-1q,-41266000,-19967000,13949000,175186000,12461000,,-12513000,-17429000,5892000,565000,-18405000,1436000,2018-03-31,,232418000,270026000.0,172540000,,,1436000
ABUS,-2q,39270000,-10342000,17822000,129366000,54292000,,-15288000,-35931000,4163000,201000,-19451000,-7484000,2017-12-31,,182473000,237161000.0,126352000,,,2534000
ABUS,-3q,-10314000,-15680000,15537000,90813000,15225000,,-8645000,-11600000,4252000,-1328000,-12897000,6892000,2017-09-30,,167391000,239845000.0,88179000,,,6892000
ABUS,-4q,-6464000,-5078000,15445000,105922000,24212000,,-14406000,-18255000,5079000,-824000,-19485000,318000,2017-06-30,,175786000,255075000.0,103009000,,,1039000
ABX,-1q,151000000,507000000,1152000000,4796000000,2384000000,57000000,638000000,158000000,112000000,-49000000,526000000,1790000000,2018-03-31,,9479000000,25396000000.0,2384000000,6401000000,,1790000000
ABX,-2q,208000000,590000000,1411000000,4684000000,2234000000,59000000,817000000,-314000000,196000000,-39000000,621000000,2228000000,2017-12-31,,9286000000,25308000000.0,2234000000,6423000000,,2228000000
ABX,-3q,-901000000,532000000,1270000000,4742000000,2025000000,63000000,723000000,-11000000,183000000,-13000000,540000000,1993000000,2017-09-30,,9614000000,25072000000.0,2025000000,6447000000,,1993000000
