symbol,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
ABC,1314368,close,-0.83,-0.00964,85.27,1530302495995,AmerisourceBergen Corporation,85.27,1530302495995,-0.14,-0.00164,85.13,1530305496743,86.56,0,0,0,0,1530302395521,0.03272,85.24,100,44676,85.27,Close,"June 29, 2018",1530302495995,1365403,84.38,18742692964,86.1,1530279001009,14.02,86.1,New York Stock Exchange,Healthcare,106.27,71.9,-0.09536445641510069
ABCB,309278,close,-0.65,-0.01204,53.35,1530302400323,Ameris Bancorp,53.35,1530302400323,0.673,0.01261,54.023,1530303723382,54.5,0,0,0,0,1530302395025,0.02832,53.35,100,10718,53.35,Close,"June 29, 2018",1530302400323,378460,53.275,2185593771,54.25,1530279000361,20.36,54,Nasdaq Global Select,Financial Services,59.05,41.05,0.09096426522549052
ABCD,156921,close,0.07,0.00632,11.15,1530302400587,Cambium Learning Group Inc.,11.15,1530302400587,0,0,11.15,1530303080278,11.23,0,0,0,0,1530296380972,0.00155,11.165,100,400,11.15,Close,"June 29, 2018",1530302400587,258065,10.98,525359634,11.08,1530279000353,,11.08,NASDAQ Capital Market,Consumer Defensive,13.77,4.73,0.9973914285714287
ABDC,55822,close,0.12,0.01914,6.39,1530302400650,Alcentra Capital Corp.,6.39,1530302400650,0,0,6.39,1530304877000,6.45,0,0,0,0,1530302260162,0.01564,6.405,17,1008,6.39,Close,"June 29, 2018",1530302400650,64450,6.23,87458051,6.38,1530279000708,5.11,6.27,Nasdaq Global Select,Financial Services,13.63,5.9,-0.1914838418777024
ABEO,1163763,close,-0.45,-0.02736,16,1530302400488,Abeona Therapeutics Inc.,16,1530302400488,0.045,0.00281,16.045,1530302805895,16.55,0,0,0,0,1530302392424,0.01552,15.975,100,9583,16,Close,"June 29, 2018",1530302400488,617461,15.7,756884560,16.55,1530279000690,-22.54,16.45,NASDAQ Capital Market,Healthcare,22.75,6.1161,-0.09712744186046507
ABEOW,0,close,0.4083,0.03798,11.1583,1530129600464,,11.18,1530216000323,,,,,11.18,0,0,0,0,0,0,0,0,0,11.1583,Close,"June 27, 2018",1530129600464,400,11.158,0,11.14,1530206916736,,10.75,,,11.1583,0,-0.022769158249158268
ABEV,32674873,close,-0.06,-0.01279,4.63,1530302565374,Ambev S.A. American Depositary Shares (Each representing 1),4.63,1530302565374,0,0,4.63,1530303727268,4.77,0,0,0,0,1530302397480,0.02213,4.635,53,503305,4.63,Close,"June 29, 2018",1530302565374,22743109,4.63,72776406471,4.71,1530279001000,20.13,4.69,New York Stock Exchange,Consumer Defensive,7.43,4.605,-0.30385248755914196
ABG,170736,close,-1.6,-0.02281,68.55,1530302472125,Asbury Automotive Group Inc,68.55,1530302472125,0.663,0.00967,69.213,1530303054157,70.4,0,0,0,0,1530302269884,0.02597,68.575,100,4957,68.55,Close,"June 29, 2018",1530302472125,190874,68.45,1414287680,70.4,1530279010040,10.08,70.15,New York Stock Exchange,Consumer Cyclical,76.5,49.1,0.06098446640316202
ABIL,1290626,close,-0.02,-0.0028,7.13,1530302400248,Ability Inc.,7.13,1530302400248,-0.11,-0.01543,7.02,1530303727327,9.05,0,0,0,0,1530290771675,0.0016,7.51,100,1897,7.13,Close,"June 29, 2018",1530302400248,1185625,6.96,18369839,7.05,1530279000358,,7.15,NASDAQ Capital Market,Technology,14.55,0.3233,14.297629184549354
ABIO,618277,close,-0.0131,-0.02302,0.556,1530302400249,ARCA biopharma Inc.,0.556,1530302400249,0,0,0.556,1530305461118,0.6,0,0,0,0,0,0,0,0,0,0.556,Close,"June 29, 2018",1530302400249,232794,0.5451,7741647,0.6,1530279000033,,0.5691,NASDAQ Capital Market,Healthcare,2.71,0.45,-0.6111681481481481
ABLX,56018,close,0.1099,0.00208,52.87,1528833600805,Ablynx NV,52.87,1528833600805,-0.26,-0.00492,52.61,1528291730455,53.155,,,,,,,,,,52.87,Close,"June 12, 2018",1528833600805,14581,52.8,4123933595,52.91,1528810200522,,52.7601,Nasdaq Global Select,Healthcare,55.29,17.75,1.1600391836734694
